date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,high_mean_lag3,high_mean_lag7,high_mean_lag30,high_std_lag3,high_std_lag7,high_std_lag30,low_mean_lag3,low_mean_lag7,low_mean_lag30,low_std_lag3,low_std_lag7,low_std_lag30,volume_mean_lag3,volume_mean_lag7,volume_mean_lag30,volume_std_lag3,volume_std_lag7,volume_std_lag30
2011-06-20,BAJAJFINSV,EQ,534.3,539.8,539.8,500.0,515.0,513.4,518.69,89233,554.5,563.6929,523.4683,9.76166,10.682557,29.007217,535.7833,543.6,504.78333,8.860634,9.553752,25.27999,92096.336,322788.44,251462.5,42178.8,367581.4,361615.75
2011-06-21,BAJAJFINSV,EQ,513.4,523.0,523.0,492.1,504.3,497.95,508.92,87525,545.86664,558.75,524.895,5.3678055,12.714198,28.711546,520.45,537.1429,505.27832,17.716589,18.948097,25.026413,74975.336,182388.72,252355.27,12936.337,166280.72,361165.8
2011-06-22,BAJAJFINSV,EQ,497.95,503.95,515.0,485.0,487.3,487.05,495.11,135957,536.86664,551.54285,525.74164,12.65754,16.674717,28.249687,507.43332,528.0714,505.54834,20.10829,23.332165,24.831871,82821.0,117649.29,253554.33,9664.544,53492.562,360535.3
2011-06-23,BAJAJFINSV,EQ,487.05,491.7,491.7,479.0,489.0,484.55,483.51,106070,525.93335,544.3143,526.4117,12.65754,20.16717,27.726501,492.36667,519.35,505.515,7.503555,26.664005,24.859673,104238.336,113460.0,256609.36,27482.443,50186.605,359086.5
2011-06-24,BAJAJFINSV,EQ,484.55,483.2,509.0,483.2,506.0,506.3,498.86,140544,509.9,533.2857,526.4017,16.261303,25.00896,27.739391,485.36667,509.0643,505.415,6.5576925,26.304764,24.963343,109850.664,99296.29,258966.27,24436.34,29842.209,357814.03
2011-06-27,BAJAJFINSV,EQ,506.3,499.8,540.0,499.6,524.0,522.25,521.74,516489,505.23334,525.1857,527.1017,12.098071,21.727589,26.991808,482.4,500.09286,505.65167,3.0789607,21.958113,24.708189,127523.664,99288.86,262327.0,18720.443,29830.219,356153.44
2011-06-28,BAJAJFINSV,EQ,522.25,526.9,529.95,516.0,517.65,518.35,522.65,131920,513.56665,523.75714,528.28,24.471684,20.09128,26.748386,487.26666,495.58572,506.33835,10.885465,17.255186,24.223463,254367.67,163931.86,275763.44,227657.22,157531.92,357940.2
2011-06-29,BAJAJFINSV,EQ,518.35,522.65,525.5,515.0,515.35,518.05,518.88,64271,526.31665,521.20715,528.78,15.816157,17.496344,26.630556,499.6,493.55713,507.37167,16.4,12.755633,23.941378,262984.34,172534.0,265057.6,219583.83,153242.1,357255.84
2011-06-30,BAJAJFINSV,EQ,518.05,520.3,520.95,508.0,517.0,514.25,515.03,135255,531.81665,519.1643,528.4617,7.428044,15.70697,26.610092,510.2,495.7,507.74,9.193476,15.068621,23.971903,237560.0,168968.0,236584.4,243916.25,155773.14,336839.78
2011-07-01,BAJAJFINSV,EQ,514.25,518.95,525.0,512.0,516.05,515.25,519.19,206177,525.4667,518.8714,528.19666,4.5000925,15.642513,26.64514,513.0,497.97144,507.885,4.3588986,15.62367,23.959463,110482.0,175786.58,235371.23,40054.625,152626.88,337147.12
2011-07-04,BAJAJFINSV,EQ,515.25,516.0,524.9,511.1,516.6,517.25,518.83,101731,523.81665,520.3,528.695,2.495162,15.686592,26.433004,511.66666,501.82858,508.49832,3.5118845,15.215093,23.816256,135234.33,185818.0,239510.36,70953.0,151878.55,335959.44
2011-07-05,BAJAJFINSV,EQ,517.25,514.0,527.45,512.7,521.0,519.95,521.67,168111,523.61664,525.04285,529.5933,2.3099422,9.328738,25.802528,510.36667,506.41428,509.45166,2.0984118,11.594601,23.30665,147721.0,185198.14,241247.33,53327.223,152266.62,335077.38
2011-07-06,BAJAJFINSV,EQ,519.95,522.85,524.75,515.1,519.95,518.85,521.08,88762,525.7833,527.6786,530.42834,1.4442415,6.0819993,25.292458,511.93332,510.62857,510.475,0.8020798,5.5210853,22.726515,158673.0,189136.28,243130.44,52858.76,151272.47,334481.97
2011-07-07,BAJAJFINSV,EQ,518.85,516.0,530.5,516.0,525.8,526.05,524.81,117661,525.7,525.5,531.30334,1.5173992,2.7531798,24.594223,512.9667,512.84283,511.47833,2.0132887,2.7969372,22.221886,119534.664,128032.43,243811.53,42565.17,48441.71,334134.38
2011-07-08,BAJAJFINSV,EQ,526.05,529.9,529.9,515.1,515.9,517.2,521.17,55673,527.56665,525.57855,532.6067,2.8767748,2.9050038,23.414413,514.6,512.84283,512.605,1.7058718,2.7969372,21.532412,124844.664,125995.43,246813.4,40159.305,48550.668,332525.66
2011-07-11,BAJAJFINSV,EQ,517.2,519.85,523.7,512.0,516.0,514.2,516.73,44833,528.38336,526.20715,533.87,3.1608279,3.3300936,22.135439,515.4,512.8571,513.64,0.519614,2.8100162,20.847887,87365.336,124767.14,247495.44,31017.592,50444.33,332097.38
